Author,User Rating,Percent,Author-t
Raina Telgemeier,4.8,0.0073846153846153844,Malo
Randall Munroe,4.7,0.007230769230769231,Malo
Randy Pausch,4.7,0.007230769230769231,Malo
Ray Bradbury,9.2,0.014153846153846152,Malo
Rebecca Skloot,14.100000000000001,0.021692307692307695,Malo
Ree Drummond,14.399999999999999,0.022153846153846152,Malo
Rick Riordan,52.5,0.08076923076923077,Malo
Rob Bell,4.2,0.006461538461538462,Malo
Rob Elliott,36.5,0.05615384615384615,Malo
Robert F. Kennedy Jr.,4.8,0.0073846153846153844,Malo
Robert Greene,4.7,0.007230769230769231,Malo
Robert Jordan,4.8,0.0073846153846153844,Malo
Robert Munsch,9.6,0.014769230769230769,Malo
Robert T. Kiyosaki,4.7,0.007230769230769231,Malo
Robin DiAngelo,4.3,0.006615384615384615,Malo
Rod Campbell,19.2,0.029538461538461538,Malo
Roger Priddy,23.5,0.036153846153846154,Malo
Ron Chernow,4.8,0.0073846153846153844,Malo
Rupi Kaur,18.8,0.028923076923076923,Malo
Rush Limbaugh,9.8,0.015076923076923078,Malo
Samin Nosrat,9.6,0.014769230769230769,Malo
Sandra Boynton,9.6,0.014769230769230769,Malo
Sara Gruen,4.5,0.006923076923076923,Malo
Sarah Palin,4.6,0.007076923076923076,Malo
Sarah Young,29.400000000000002,0.045230769230769234,Malo
Sasha O'Hara,4.6,0.007076923076923076,Malo
Scholastic,9.4,0.014461538461538461,Malo
School Zone,19.2,0.029538461538461538,Malo
Sean Hannity,4.8,0.0073846153846153844,Malo
Shannon Roberts,4.8,0.0073846153846153844,Malo
Sharon Jones,9.2,0.014153846153846152,Malo
Sherri Duskey Rinker,9.8,0.015076923076923078,Malo
Sheryl Sandberg,9.0,0.013846153846153847,Malo
Silly Bear,4.8,0.0073846153846153844,Malo
Stephen Kendrick,4.8,0.0073846153846153844,Malo
Stephen King,18.1,0.027846153846153847,Malo
Stephen R. Covey,32.5,0.05,Malo
Stephenie Meyer,37.4,0.05753846153846154,Malo
Steve Harvey,4.6,0.007076923076923076,Malo
Steven D. Levitt,4.5,0.006923076923076923,Malo
Stieg Larsson,27.6,0.04246153846153846,Malo
Susan Cain,9.2,0.014153846153846152,Malo
Suzanne Collins,56.0,0.08615384615384615,Malo
Suzanne Lang,4.8,0.0073846153846153844,Malo
Ta-Nehisi Coates,9.4,0.014461538461538461,Malo
Tara Westover,14.100000000000001,0.021692307692307695,Malo
Tatiana de Rosnay,4.6,0.007076923076923076,Malo
Taylor Jenkins Reid,4.6,0.007076923076923076,Malo
The College Board,26.3,0.040461538461538465,Malo
The Staff of The Late Show with???€?,4.6,0.007076923076923076,Malo
The Washington Post,4.6,0.007076923076923076,Malo
Thomas Campbell,4.7,0.007230769230769231,Malo
Thomas Piketty,4.5,0.006923076923076923,Malo
Thug Kitchen,18.4,0.028307692307692305,Malo
Timothy Ferriss,8.899999999999999,0.01369230769230769,Malo
Tina Fey,4.3,0.006615384615384615,Malo
Todd Burpo,9.4,0.014461538461538461,Malo
Tony Hsieh,4.6,0.007076923076923076,Malo
Tucker Carlson,4.8,0.0073846153846153844,Malo
Veronica Roth,17.6,0.02707692307692308,Malo
W. Cleon Skousen,4.8,0.0073846153846153844,Malo
Walter Isaacson,13.7,0.021076923076923076,Malo
William Davis,8.8,0.01353846153846154,Malo
William P. Young,9.2,0.014153846153846152,Malo
Wizards RPG Team,14.399999999999999,0.022153846153846152,Malo
Wonder House Books,4.6,0.007076923076923076,Malo
Workman Publishing,14.399999999999999,0.022153846153846152,Malo
Zhi Gang Sha,9.2,0.014153846153846152,Malo
